timestamp,X_mea,Y_mea,Z_mea
2024-03-14 16:05:57.484,82.71,94.87,1.38
2024-03-14 16:05:57.590,82.68,95.08,1.38
2024-03-14 16:05:57.693,82.64,95.4,1.38
2024-03-14 16:05:57.795,82.65,95.65,1.38
2024-03-14 16:05:57.902,82.93,95.63,1.38
2024-03-14 16:05:58.005,83.25,95.63,1.38
2024-03-14 16:05:58.107,83.56,95.63,1.38
2024-03-14 16:05:58.213,83.87,95.62,1.38
2024-03-14 16:05:58.315,84.18,95.61,1.38
2024-03-14 16:05:58.421,84.49,95.6,1.38
2024-03-14 16:05:58.525,84.81,95.62,1.38
2024-03-14 16:05:58.627,85.11,95.61,1.38
2024-03-14 16:05:58.733,85.43,95.58,1.38
2024-03-14 16:05:58.836,85.74,95.58,1.38
2024-03-14 16:05:58.938,86.05,95.54,1.38
2024-03-14 16:05:59.044,86.37,95.53,1.38
2024-03-14 16:05:59.147,86.67,95.52,1.38
2024-03-14 16:05:59.249,86.98,95.5,1.38
2024-03-14 16:05:59.356,87.29,95.47,1.38
2024-03-14 16:05:59.458,87.61,95.46,1.38
2024-03-14 16:05:59.561,87.91,95.44,1.38
2024-03-14 16:05:59.667,88.22,95.42,1.38
2024-03-14 16:05:59.769,88.53,95.41,1.38
2024-03-14 16:05:59.872,88.85,95.37,1.38
2024-03-14 16:05:59.979,89.15,95.37,1.38
2024-03-14 16:06:00.081,89.46,95.35,1.38
2024-03-14 16:06:00.183,89.77,95.36,1.38
2024-03-14 16:06:00.290,90.09,95.34,1.38
2024-03-14 16:06:00.392,90.39,95.33,1.38
2024-03-14 16:06:00.494,90.7,95.3,1.38
2024-03-14 16:06:00.601,91.01,95.28,1.38
2024-03-14 16:06:00.703,91.33,95.23,1.38
2024-03-14 16:06:00.806,91.63,95.23,1.38
2024-03-14 16:06:00.912,91.95,95.22,1.38
2024-03-14 16:06:01.015,92.26,95.19,1.38
2024-03-14 16:06:01.117,92.57,95.16,1.38
2024-03-14 16:06:01.223,92.88,95.13,1.38
2024-03-14 16:06:01.326,93.19,95.11,1.38
2024-03-14 16:06:01.429,93.5,95.08,1.38
2024-03-14 16:06:01.535,93.81,95.04,1.38
2024-03-14 16:06:01.637,94.12,95.0,1.38
2024-03-14 16:06:01.740,94.43,94.98,1.38
2024-03-14 16:06:01.846,94.74,94.96,1.38
2024-03-14 16:06:01.949,95.05,94.95,1.38
2024-03-14 16:06:02.051,95.35,94.94,1.38
2024-03-14 16:06:02.158,95.66,94.92,1.38
2024-03-14 16:06:02.260,95.97,94.9,1.38
2024-03-14 16:06:02.362,96.29,94.91,1.38
2024-03-14 16:06:02.469,96.59,94.88,1.38
2024-03-14 16:06:02.571,96.9,94.84,1.38
2024-03-14 16:06:02.674,97.21,94.82,1.38
2024-03-14 16:06:02.780,97.52,94.79,1.38
