timestamp,X_mea,Y_mea,Z_mea
2024-05-15 17:30:40.984,104.56,111.07,12.01
2024-05-15 17:30:41.025,104.83,110.96,12.02
2024-05-15 17:30:41.061,104.91,110.69,12.02
2024-05-15 17:30:41.099,104.29,109.41,12.02
2024-05-15 17:30:41.140,103.57,108.19,12.02
2024-05-15 17:30:41.176,102.99,106.96,12.02
2024-05-15 17:30:41.214,102.56,105.36,12.02
2024-05-15 17:30:41.251,101.87,102.75,12.02
2024-05-15 17:30:41.291,101.44,100.45,12.02
2024-05-15 17:30:41.328,101.17,98.8,12.02
2024-05-15 17:30:41.365,101.09,98.32,12.02
2024-05-15 17:30:41.402,101.07,98.29,12.02
2024-05-15 17:30:41.439,101.07,98.29,12.02
2024-05-15 17:30:41.480,101.04,98.29,12.02
2024-05-15 17:30:41.517,101.04,98.29,12.02
2024-05-15 17:30:41.553,101.04,98.29,12.02
2024-05-15 17:30:41.590,101.04,98.29,12.02
2024-05-15 17:30:41.631,101.07,98.43,12.02
2024-05-15 17:30:41.668,101.33,98.77,12.02
2024-05-15 17:30:41.705,101.6,99.17,12.02
2024-05-15 17:30:41.742,101.87,99.63,12.02
2024-05-15 17:30:41.783,101.57,98.99,12.02
2024-05-15 17:30:41.820,101.04,98.24,12.02
2024-05-15 17:30:41.857,100.77,97.79,12.02
2024-05-15 17:30:41.897,100.11,97.41,12.02
2024-05-15 17:30:41.934,100.03,97.49,12.02
2024-05-15 17:30:41.971,100.51,98.08,12.02
2024-05-15 17:30:42.008,100.88,98.21,12.02
2024-05-15 17:30:42.049,100.88,98.21,12.02
2024-05-15 17:30:42.086,100.88,98.21,12.02
2024-05-15 17:30:42.123,100.88,98.21,12.02
2024-05-15 17:30:42.160,100.88,98.21,12.02
2024-05-15 17:30:42.200,100.88,98.21,12.02
2024-05-15 17:30:42.237,100.88,98.21,12.02
2024-05-15 17:30:42.275,101.04,98.51,12.02
2024-05-15 17:30:42.315,101.89,100.0,12.02
2024-05-15 17:30:42.352,102.75,101.52,12.02
2024-05-15 17:30:42.389,103.12,102.45,12.02
2024-05-15 17:30:42.426,103.23,102.59,12.02
2024-05-15 17:30:42.467,103.23,102.59,12.02
2024-05-15 17:30:42.504,103.23,102.59,12.02
2024-05-15 17:30:42.541,103.23,102.59,12.02
2024-05-15 17:30:42.581,103.23,102.59,12.02
2024-05-15 17:30:42.619,103.23,102.59,12.02
2024-05-15 17:30:42.655,103.23,102.48,12.02
2024-05-15 17:30:42.692,103.28,101.95,12.02
2024-05-15 17:30:42.733,103.12,101.25,12.02
2024-05-15 17:30:42.770,102.91,100.67,12.02
