timestamp,X_mea,Y_mea,Z_mea
2024-05-01 00:15:34.798,96.85,104.08,3.0
2024-05-01 00:15:34.835,96.85,103.76,3.01
2024-05-01 00:15:34.873,97.07,103.6,3.01
2024-05-01 00:15:34.910,97.87,103.6,3.01
2024-05-01 00:15:34.950,99.57,103.63,3.01
2024-05-01 00:15:34.988,101.6,103.65,3.01
2024-05-01 00:15:35.024,103.28,103.65,3.01
2024-05-01 00:15:35.065,104.11,103.65,3.01
2024-05-01 00:15:35.102,104.32,103.87,3.01
2024-05-01 00:15:35.139,104.32,104.72,3.01
2024-05-01 00:15:35.176,104.37,106.53,3.01
2024-05-01 00:15:35.217,104.4,108.72,3.01
2024-05-01 00:15:35.253,104.45,110.77,3.01
2024-05-01 00:15:35.291,104.48,111.92,3.01
2024-05-01 00:15:35.331,104.48,112.35,3.01
2024-05-01 00:15:35.368,104.48,112.0,3.01
2024-05-01 00:15:35.405,104.48,111.04,3.01
2024-05-01 00:15:35.442,104.51,110.11,3.01
2024-05-01 00:15:35.483,104.51,109.12,3.01
2024-05-01 00:15:35.520,104.51,108.21,3.01
2024-05-01 00:15:35.557,104.51,107.25,3.01
2024-05-01 00:15:35.593,104.51,106.37,3.01
2024-05-01 00:15:35.634,104.51,105.33,3.01
2024-05-01 00:15:35.671,104.51,104.51,3.01
2024-05-01 00:15:35.708,104.51,103.63,3.01
2024-05-01 00:15:35.745,104.19,103.52,3.01
2024-05-01 00:15:35.786,103.28,103.57,3.01
2024-05-01 00:15:35.823,102.43,103.57,3.01
2024-05-01 00:15:35.860,101.57,103.57,3.01
2024-05-01 00:15:35.897,100.69,103.57,3.01
2024-05-01 00:15:35.934,99.81,103.57,3.01
2024-05-01 00:15:35.975,98.96,103.57,3.01
2024-05-01 00:15:36.012,98.05,103.57,3.01
2024-05-01 00:15:36.048,97.15,103.57,3.01
2024-05-01 00:15:36.085,96.4,103.57,3.01
2024-05-01 00:15:36.126,96.24,104.03,3.01
2024-05-01 00:15:36.163,96.24,105.01,3.01
2024-05-01 00:15:36.200,96.24,105.89,3.01
2024-05-01 00:15:36.237,96.24,106.88,3.01
2024-05-01 00:15:36.278,96.21,107.73,3.01
2024-05-01 00:15:36.314,96.21,108.77,3.01
2024-05-01 00:15:36.351,96.21,109.65,3.01
2024-05-01 00:15:36.388,96.19,110.67,3.01
2024-05-01 00:15:36.429,96.19,111.52,3.01
2024-05-01 00:15:36.466,96.19,112.35,3.01
2024-05-01 00:15:36.503,96.59,112.43,3.01
2024-05-01 00:15:36.539,97.41,112.43,3.01
2024-05-01 00:15:36.581,98.27,112.43,3.01
2024-05-01 00:15:36.618,99.15,112.43,3.01
2024-05-01 00:15:36.655,100.03,112.43,3.01
2024-05-01 00:15:36.696,100.93,112.43,3.01
2024-05-01 00:15:36.733,101.84,112.43,3.01
2024-05-01 00:15:36.769,102.77,112.43,3.01
2024-05-01 00:15:36.806,103.71,112.43,3.01
2024-05-01 00:15:36.847,104.45,112.43,3.01
2024-05-01 00:15:36.884,104.83,112.8,3.01
2024-05-01 00:15:36.921,104.85,112.29,3.01
2024-05-01 00:15:36.957,104.88,111.25,3.01
2024-05-01 00:15:36.998,104.88,110.37,3.01
2024-05-01 00:15:37.036,104.88,109.39,3.01
2024-05-01 00:15:37.073,104.88,108.48,3.01
2024-05-01 00:15:37.109,104.88,107.47,3.01
2024-05-01 00:15:37.150,104.88,106.61,3.01
2024-05-01 00:15:37.187,104.88,105.6,3.01
2024-05-01 00:15:37.224,104.88,104.75,3.01
2024-05-01 00:15:37.265,104.88,103.73,3.01
2024-05-01 00:15:37.302,104.85,103.23,3.01
2024-05-01 00:15:37.339,104.21,103.23,3.01
2024-05-01 00:15:37.375,103.33,103.23,3.01
2024-05-01 00:15:37.417,102.48,103.23,3.01
2024-05-01 00:15:37.454,101.6,103.23,3.01
2024-05-01 00:15:37.490,100.75,103.23,3.01
2024-05-01 00:15:37.527,99.84,103.23,3.01
2024-05-01 00:15:37.563,98.99,103.23,3.01
2024-05-01 00:15:37.604,98.08,103.23,3.01
2024-05-01 00:15:37.642,97.17,103.23,3.01
2024-05-01 00:15:37.679,96.27,103.23,3.01
2024-05-01 00:15:37.715,95.87,103.33,3.01
2024-05-01 00:15:37.757,95.84,104.19,3.01
2024-05-01 00:15:37.794,95.84,105.09,3.01
2024-05-01 00:15:37.830,95.84,106.0,3.01
2024-05-01 00:15:37.867,95.81,106.99,3.01
2024-05-01 00:15:37.908,95.81,107.87,3.01
2024-05-01 00:15:37.945,95.81,108.88,3.01
2024-05-01 00:15:37.982,95.79,109.73,3.01
2024-05-01 00:15:38.018,95.79,110.77,3.01
2024-05-01 00:15:38.060,95.79,111.65,3.01
2024-05-01 00:15:38.097,95.79,112.64,3.01
2024-05-01 00:15:38.133,95.95,112.83,3.01
2024-05-01 00:15:38.170,96.75,112.83,3.01
2024-05-01 00:15:38.211,97.57,112.83,3.01
2024-05-01 00:15:38.248,98.45,112.83,3.01
2024-05-01 00:15:38.285,99.31,112.83,3.01
2024-05-01 00:15:38.325,100.21,112.83,3.01
2024-05-01 00:15:38.362,101.09,112.83,3.01
2024-05-01 00:15:38.400,102.03,112.83,3.01
2024-05-01 00:15:38.436,102.96,112.83,3.01
2024-05-01 00:15:38.477,103.89,112.83,3.01
2024-05-01 00:15:38.515,104.69,112.83,3.01
2024-05-01 00:15:38.551,104.69,112.72,3.01
2024-05-01 00:15:38.588,104.4,112.11,3.01
2024-05-01 00:15:38.629,103.84,112.05,3.01
2024-05-01 00:15:38.666,102.93,112.05,3.01
2024-05-01 00:15:38.703,102.08,112.05,3.01
2024-05-01 00:15:38.740,101.17,112.05,3.01
2024-05-01 00:15:38.781,100.32,112.05,3.01
2024-05-01 00:15:38.817,99.41,112.05,3.01
2024-05-01 00:15:38.854,98.53,112.05,3.01
2024-05-01 00:15:38.891,97.63,112.05,3.01
2024-05-01 00:15:38.928,96.8,112.05,3.01
2024-05-01 00:15:38.969,96.53,111.73,3.01
2024-05-01 00:15:39.006,96.53,110.83,3.01
2024-05-01 00:15:39.042,96.51,109.81,3.01
2024-05-01 00:15:39.080,96.51,108.93,3.01
2024-05-01 00:15:39.121,96.48,107.95,3.01
2024-05-01 00:15:39.157,96.48,107.04,3.01
2024-05-01 00:15:39.194,96.48,106.05,3.01
2024-05-01 00:15:39.231,96.48,105.12,3.01
2024-05-01 00:15:39.272,96.48,104.24,3.01
2024-05-01 00:15:39.309,96.61,103.92,3.01
2024-05-01 00:15:39.346,97.39,103.92,3.01
2024-05-01 00:15:39.382,98.21,103.92,3.01
2024-05-01 00:15:39.423,99.12,103.92,3.01
2024-05-01 00:15:39.461,99.97,103.92,3.01
2024-05-01 00:15:39.497,100.88,103.92,3.01
2024-05-01 00:15:39.539,101.79,103.92,3.01
2024-05-01 00:15:39.575,102.75,103.92,3.01
2024-05-01 00:15:39.612,103.65,103.92,3.01
2024-05-01 00:15:39.649,104.03,104.05,3.01
2024-05-01 00:15:39.690,104.05,104.96,3.01
2024-05-01 00:15:39.727,104.05,105.84,3.01
2024-05-01 00:15:39.763,104.08,106.85,3.01
2024-05-01 00:15:39.801,104.08,107.73,3.01
2024-05-01 00:15:39.841,104.08,108.77,3.01
2024-05-01 00:15:39.878,104.08,109.65,3.01
2024-05-01 00:15:39.915,104.08,110.69,3.01
2024-05-01 00:15:39.956,104.08,111.57,3.01
2024-05-01 00:15:39.993,104.16,112.03,3.01
2024-05-01 00:15:40.030,104.32,111.76,3.01
2024-05-01 00:15:40.067,104.32,110.85,3.01
2024-05-01 00:15:40.107,104.32,108.93,3.01
2024-05-01 00:15:40.144,104.32,106.75,3.01
2024-05-01 00:15:40.181,104.29,104.96,3.01
2024-05-01 00:15:40.218,104.29,104.05,3.01
2024-05-01 00:15:40.259,104.16,103.76,3.01
2024-05-01 00:15:40.296,103.55,103.71,3.01
2024-05-01 00:15:40.333,103.49,104.19,3.01
2024-05-01 00:15:40.370,103.87,104.72,3.01
2024-05-01 00:15:40.411,103.92,105.23,3.01
2024-05-01 00:15:40.447,103.71,104.99,3.01
2024-05-01 00:15:40.484,103.12,104.35,3.01
2024-05-01 00:15:40.522,102.59,104.21,3.01
2024-05-01 00:15:40.563,102.56,104.32,3.01
2024-05-01 00:15:40.599,103.09,104.96,3.01
2024-05-01 00:15:40.636,103.73,105.55,3.01
2024-05-01 00:15:40.673,103.92,106.16,3.01
2024-05-01 00:15:40.714,103.87,106.35,3.01
2024-05-01 00:15:40.751,103.33,105.68,3.01
2024-05-01 00:15:40.788,102.72,105.07,3.01
2024-05-01 00:15:40.825,102.13,104.45,3.01
2024-05-01 00:15:40.866,101.6,104.21,3.01
2024-05-01 00:15:40.902,101.49,104.32,3.01
2024-05-01 00:15:40.940,102.0,104.93,3.01
2024-05-01 00:15:40.980,102.61,105.55,3.01
2024-05-01 00:15:41.017,103.2,106.24,3.01
2024-05-01 00:15:41.054,103.81,106.91,3.01
2024-05-01 00:15:41.091,103.89,107.44,3.01
2024-05-01 00:15:41.131,103.81,107.36,3.01
2024-05-01 00:15:41.168,103.23,106.77,3.01
2024-05-01 00:15:41.206,102.61,106.08,3.01
2024-05-01 00:15:41.242,102.03,105.39,3.01
2024-05-01 00:15:41.283,101.41,104.8,3.01
2024-05-01 00:15:41.320,100.88,104.21,3.01
2024-05-01 00:15:41.357,100.4,104.21,3.01
2024-05-01 00:15:41.394,100.67,104.59,3.01
2024-05-01 00:15:41.435,101.25,105.2,3.01
2024-05-01 00:15:41.472,101.84,105.84,3.01
2024-05-01 00:15:41.509,102.45,106.59,3.01
