timestamp,X_mea,Y_mea,Z_mea
2024-04-30 14:24:53.363,96.83,104.69,1.0
2024-04-30 14:24:53.399,96.88,104.27,1.0
2024-04-30 14:24:53.436,97.36,104.29,1.0
2024-04-30 14:24:53.473,98.69,104.29,1.0
2024-04-30 14:24:53.514,100.67,104.32,1.0
2024-04-30 14:24:53.550,102.61,104.32,1.0
2024-04-30 14:24:53.588,103.81,104.32,1.0
2024-04-30 14:24:53.629,104.24,104.37,1.0
2024-04-30 14:24:53.666,104.27,104.93,1.0
2024-04-30 14:24:53.702,104.29,106.19,1.0
2024-04-30 14:24:53.739,104.35,108.32,1.0
2024-04-30 14:24:53.780,104.4,110.53,1.0
2024-04-30 14:24:53.817,104.4,112.16,1.0
2024-04-30 14:24:53.853,104.43,112.91,1.0
2024-04-30 14:24:53.891,104.45,112.96,1.0
2024-04-30 14:24:53.932,104.45,112.43,1.0
2024-04-30 14:24:53.968,104.45,111.95,1.0
2024-04-30 14:24:54.006,104.45,111.52,1.0
2024-04-30 14:24:54.046,104.45,111.07,1.0
2024-04-30 14:24:54.083,104.45,110.51,1.0
2024-04-30 14:24:54.120,104.45,110.05,1.0
2024-04-30 14:24:54.157,104.45,109.6,1.0
2024-04-30 14:24:54.198,104.45,109.17,1.0
2024-04-30 14:24:54.235,104.45,108.64,1.0
2024-04-30 14:24:54.272,104.45,108.16,1.0
2024-04-30 14:24:54.309,104.45,107.73,1.0
2024-04-30 14:24:54.349,104.45,107.31,1.0
2024-04-30 14:24:54.386,104.45,106.77,1.0
2024-04-30 14:24:54.423,104.45,106.24,1.0
2024-04-30 14:24:54.460,104.45,105.81,1.0
2024-04-30 14:24:54.501,104.45,105.41,1.0
2024-04-30 14:24:54.538,104.45,104.93,1.0
2024-04-30 14:24:54.575,104.45,104.4,1.0
2024-04-30 14:24:54.612,104.24,104.24,1.0
2024-04-30 14:24:54.652,103.81,104.24,1.0
2024-04-30 14:24:54.690,103.39,104.24,1.0
2024-04-30 14:24:54.726,102.93,104.24,1.0
2024-04-30 14:24:54.763,102.53,104.24,1.0
2024-04-30 14:24:54.804,102.08,104.24,1.0
2024-04-30 14:24:54.841,101.63,104.24,1.0
2024-04-30 14:24:54.877,101.2,104.24,1.0
2024-04-30 14:24:54.915,100.77,104.24,1.0
2024-04-30 14:24:54.956,100.35,104.24,1.0
2024-04-30 14:24:54.993,99.89,104.24,1.0
2024-04-30 14:24:55.029,99.44,104.24,1.0
2024-04-30 14:24:55.067,99.01,104.24,1.0
2024-04-30 14:24:55.103,98.59,104.24,1.0
2024-04-30 14:24:55.144,98.13,104.24,1.0
2024-04-30 14:24:55.181,97.68,104.24,1.0
2024-04-30 14:24:55.218,97.23,104.24,1.0
2024-04-30 14:24:55.255,96.77,104.24,1.0
2024-04-30 14:24:55.296,96.32,104.24,1.0
2024-04-30 14:24:55.332,96.19,104.56,1.0
2024-04-30 14:24:55.369,96.19,105.09,1.0
2024-04-30 14:24:55.407,96.19,105.57,1.0
2024-04-30 14:24:55.448,96.16,106.0,1.0
2024-04-30 14:24:55.484,96.16,106.43,1.0
2024-04-30 14:24:55.521,96.13,106.96,1.0
2024-04-30 14:24:55.558,96.13,107.44,1.0
2024-04-30 14:24:55.599,96.13,107.87,1.0
2024-04-30 14:24:55.636,96.13,108.29,1.0
2024-04-30 14:24:55.672,96.13,108.83,1.0
2024-04-30 14:24:55.709,96.13,109.33,1.0
2024-04-30 14:24:55.751,96.13,109.79,1.0
2024-04-30 14:24:55.787,96.13,110.21,1.0
2024-04-30 14:24:55.824,96.13,110.69,1.0
2024-04-30 14:24:55.861,96.13,111.23,1.0
2024-04-30 14:24:55.902,96.13,111.65,1.0
2024-04-30 14:24:55.939,96.13,112.08,1.0
2024-04-30 14:24:55.976,96.16,112.56,1.0
2024-04-30 14:24:56.013,96.19,113.09,1.0
2024-04-30 14:24:56.054,96.53,113.09,1.0
2024-04-30 14:24:56.091,96.96,113.09,1.0
2024-04-30 14:24:56.127,97.39,113.09,1.0
2024-04-30 14:24:56.165,97.81,113.09,1.0
2024-04-30 14:24:56.205,98.24,113.09,1.0
2024-04-30 14:24:56.242,98.67,113.09,1.0
2024-04-30 14:24:56.279,99.09,113.09,1.0
2024-04-30 14:24:56.315,99.52,113.09,1.0
2024-04-30 14:24:56.357,100.0,113.09,1.0
2024-04-30 14:24:56.393,100.43,113.09,1.0
2024-04-30 14:24:56.431,100.85,113.09,1.0
2024-04-30 14:24:56.471,101.31,113.09,1.0
2024-04-30 14:24:56.509,101.81,113.09,1.0
2024-04-30 14:24:56.545,102.27,113.09,1.0
2024-04-30 14:24:56.582,102.72,113.09,1.0
2024-04-30 14:24:56.623,103.17,113.09,1.0
2024-04-30 14:24:56.660,103.65,113.09,1.0
2024-04-30 14:24:56.697,104.11,113.09,1.0
2024-04-30 14:24:56.734,104.56,113.2,1.0
2024-04-30 14:24:56.775,104.85,113.44,1.0
2024-04-30 14:24:56.812,104.85,113.01,1.0
2024-04-30 14:24:56.848,104.85,112.43,1.0
2024-04-30 14:24:56.885,104.85,111.97,1.0
2024-04-30 14:24:56.926,104.85,111.52,1.0
2024-04-30 14:24:56.963,104.85,111.09,1.0
2024-04-30 14:24:57.000,104.88,110.53,1.0
2024-04-30 14:24:57.037,104.88,110.08,1.0
2024-04-30 14:24:57.077,104.88,109.65,1.0
2024-04-30 14:24:57.115,104.88,109.2,1.0
2024-04-30 14:24:57.152,104.88,108.64,1.0
2024-04-30 14:24:57.188,104.88,108.16,1.0
2024-04-30 14:24:57.229,104.88,107.73,1.0
2024-04-30 14:24:57.266,104.88,107.31,1.0
2024-04-30 14:24:57.303,104.88,106.8,1.0
2024-04-30 14:24:57.344,104.88,106.29,1.0
2024-04-30 14:24:57.381,104.88,105.87,1.0
2024-04-30 14:24:57.418,104.88,105.44,1.0
2024-04-30 14:24:57.454,104.88,104.96,1.0
2024-04-30 14:24:57.495,104.88,104.43,1.0
2024-04-30 14:24:57.532,104.88,104.0,1.0
2024-04-30 14:24:57.569,104.64,103.87,1.0
2024-04-30 14:24:57.606,104.24,103.87,1.0
2024-04-30 14:24:57.647,103.79,103.87,1.0
2024-04-30 14:24:57.684,103.33,103.87,1.0
2024-04-30 14:24:57.721,102.91,103.87,1.0
2024-04-30 14:24:57.758,102.48,103.87,1.0
2024-04-30 14:24:57.799,102.05,103.87,1.0
2024-04-30 14:24:57.836,101.63,103.87,1.0
2024-04-30 14:24:57.872,101.17,103.87,1.0
2024-04-30 14:24:57.909,100.75,103.87,1.0
2024-04-30 14:24:57.950,100.29,103.87,1.0
