timestamp,X_mea,Y_mea,Z_mea
2024-05-03 17:30:28.419,102.69,116.88,6.6
2024-05-03 17:30:28.455,103.04,117.25,6.6
2024-05-03 17:30:28.497,103.07,116.91,6.6
2024-05-03 17:30:28.533,103.07,116.48,6.6
2024-05-03 17:30:28.570,103.07,116.11,6.6
2024-05-03 17:30:28.608,103.07,115.79,6.6
2024-05-03 17:30:28.648,103.07,115.41,6.6
2024-05-03 17:30:28.685,103.07,114.99,6.6
2024-05-03 17:30:28.722,103.07,114.56,6.6
2024-05-03 17:30:28.759,103.07,114.21,6.6
2024-05-03 17:30:28.800,103.07,113.87,6.6
2024-05-03 17:30:28.836,103.07,113.55,6.6
2024-05-03 17:30:28.873,103.07,113.15,6.6
2024-05-03 17:30:28.911,103.07,112.69,6.6
2024-05-03 17:30:28.952,103.07,112.32,6.6
2024-05-03 17:30:28.989,103.07,112.0,6.6
2024-05-03 17:30:29.025,103.07,111.63,6.6
2024-05-03 17:30:29.062,103.07,111.31,6.6
2024-05-03 17:30:29.103,103.07,110.85,6.6
2024-05-03 17:30:29.140,103.07,110.45,6.6
2024-05-03 17:30:29.176,103.07,110.11,6.6
2024-05-03 17:30:29.213,103.07,109.76,6.6
2024-05-03 17:30:29.254,103.07,109.44,6.6
2024-05-03 17:30:29.291,103.07,109.01,6.6
2024-05-03 17:30:29.328,103.07,108.59,6.6
2024-05-03 17:30:29.365,102.96,108.37,6.6
2024-05-03 17:30:29.406,102.64,108.43,6.6
2024-05-03 17:30:29.443,102.29,108.43,6.6
2024-05-03 17:30:29.480,101.95,108.43,6.6
2024-05-03 17:30:29.521,101.6,108.45,6.6
2024-05-03 17:30:29.558,101.28,108.45,6.6
2024-05-03 17:30:29.595,100.93,108.45,6.6
2024-05-03 17:30:29.632,100.61,108.45,6.6
2024-05-03 17:30:29.673,100.24,108.45,6.6
2024-05-03 17:30:29.709,99.92,108.45,6.6
2024-05-03 17:30:29.747,99.57,108.45,6.6
2024-05-03 17:30:29.783,99.23,108.45,6.6
2024-05-03 17:30:29.820,98.88,108.45,6.6
2024-05-03 17:30:29.861,98.53,108.45,6.6
2024-05-03 17:30:29.898,98.19,108.45,6.6
2024-05-03 17:30:29.934,97.84,108.45,6.6
2024-05-03 17:30:29.972,97.49,108.45,6.6
2024-05-03 17:30:30.013,97.15,108.48,6.6
2024-05-03 17:30:30.049,96.8,108.48,6.6
2024-05-03 17:30:30.086,96.43,108.48,6.6
2024-05-03 17:30:30.123,96.08,108.48,6.6
2024-05-03 17:30:30.164,95.73,108.48,6.6
2024-05-03 17:30:30.201,95.39,108.48,6.6
2024-05-03 17:30:30.238,95.01,108.48,6.6
2024-05-03 17:30:30.275,94.96,108.77,6.6
2024-05-03 17:30:30.316,94.96,109.2,6.6
2024-05-03 17:30:30.352,94.93,109.6,6.6
2024-05-03 17:30:30.389,94.91,109.95,6.6
2024-05-03 17:30:30.426,94.91,110.29,6.6
2024-05-03 17:30:30.463,94.91,110.64,6.6
2024-05-03 17:30:30.504,94.91,111.07,6.6
2024-05-03 17:30:30.541,94.91,111.49,6.6
2024-05-03 17:30:30.578,94.91,111.84,6.6
2024-05-03 17:30:30.614,94.91,112.19,6.6
2024-05-03 17:30:30.655,94.91,112.53,6.6
2024-05-03 17:30:30.692,94.91,112.91,6.6
2024-05-03 17:30:30.729,94.91,113.36,6.6
2024-05-03 17:30:30.766,94.91,113.71,6.6
2024-05-03 17:30:30.807,94.91,114.08,6.6
2024-05-03 17:30:30.844,94.91,114.4,6.6
2024-05-03 17:30:30.881,94.88,114.77,6.6
2024-05-03 17:30:30.918,94.88,115.2,6.6
2024-05-03 17:30:30.958,94.88,115.6,6.6
2024-05-03 17:30:30.995,94.88,115.95,6.6
2024-05-03 17:30:31.032,94.88,116.32,6.6
2024-05-03 17:30:31.069,94.88,116.67,6.6
2024-05-03 17:30:31.111,94.88,117.09,6.6
2024-05-03 17:30:31.147,94.96,117.36,6.6
2024-05-03 17:30:31.184,95.28,117.36,6.6
2024-05-03 17:30:31.221,95.6,117.36,6.6
2024-05-03 17:30:31.262,95.92,117.36,6.6
2024-05-03 17:30:31.298,96.27,117.36,6.6
2024-05-03 17:30:31.336,96.59,117.36,6.6
2024-05-03 17:30:31.373,96.91,117.36,6.6
2024-05-03 17:30:31.413,97.25,117.36,6.6
