timestamp,X_mea,Y_mea,Z_mea
2024-05-04 00:00:56.355,104.51,111.47,6.6
2024-05-04 00:00:56.396,104.85,111.84,6.6
2024-05-04 00:00:56.432,104.88,111.68,6.6
2024-05-04 00:00:56.468,104.88,111.47,6.6
2024-05-04 00:00:56.506,104.88,111.23,6.6
2024-05-04 00:00:56.547,104.88,111.01,6.6
2024-05-04 00:00:56.584,104.88,110.83,6.6
2024-05-04 00:00:56.621,104.88,110.67,6.6
2024-05-04 00:00:56.658,104.88,110.51,6.6
2024-05-04 00:00:56.699,104.88,110.32,6.6
2024-05-04 00:00:56.736,104.88,110.13,6.6
2024-05-04 00:00:56.773,104.91,109.97,6.6
2024-05-04 00:00:56.809,104.91,109.79,6.6
2024-05-04 00:00:56.850,104.91,109.55,6.6
2024-05-04 00:00:56.888,104.91,109.33,6.6
2024-05-04 00:00:56.924,104.91,109.12,6.6
2024-05-04 00:00:56.961,104.91,108.96,6.6
2024-05-04 00:00:57.002,104.91,108.77,6.6
2024-05-04 00:00:57.039,104.91,108.59,6.6
2024-05-04 00:00:57.076,104.91,108.43,6.6
2024-05-04 00:00:57.113,104.91,108.27,6.6
2024-05-04 00:00:57.153,104.91,108.05,6.6
2024-05-04 00:00:57.190,104.91,107.89,6.6
2024-05-04 00:00:57.227,104.91,107.68,6.6
2024-05-04 00:00:57.264,104.91,107.47,6.6
2024-05-04 00:00:57.305,104.91,107.25,6.6
2024-05-04 00:00:57.342,104.91,107.04,6.6
2024-05-04 00:00:57.379,104.91,106.88,6.6
2024-05-04 00:00:57.416,104.91,106.72,6.6
2024-05-04 00:00:57.457,104.91,106.53,6.6
2024-05-04 00:00:57.494,104.91,106.35,6.6
2024-05-04 00:00:57.530,104.91,106.19,6.6
2024-05-04 00:00:57.571,104.91,106.03,6.6
2024-05-04 00:00:57.608,104.91,105.84,6.6
2024-05-04 00:00:57.645,104.91,105.6,6.6
2024-05-04 00:00:57.681,104.91,105.39,6.6
2024-05-04 00:00:57.723,104.91,105.17,6.6
2024-05-04 00:00:57.759,104.91,104.99,6.6
2024-05-04 00:00:57.797,104.91,104.8,6.6
2024-05-04 00:00:57.834,104.91,104.64,6.6
2024-05-04 00:00:57.875,104.91,104.48,6.6
2024-05-04 00:00:57.911,104.91,104.32,6.6
2024-05-04 00:00:57.948,104.91,104.16,6.6
2024-05-04 00:00:57.985,104.91,103.97,6.6
2024-05-04 00:00:58.026,104.91,103.79,6.6
2024-05-04 00:00:58.063,104.91,103.57,6.6
2024-05-04 00:00:58.100,104.91,103.33,6.6
2024-05-04 00:00:58.137,104.91,103.15,6.6
2024-05-04 00:00:58.178,104.91,102.96,6.6
2024-05-04 00:00:58.214,104.8,102.93,6.6
2024-05-04 00:00:58.251,104.64,102.88,6.6
2024-05-04 00:00:58.288,104.48,102.85,6.6
2024-05-04 00:00:58.329,104.32,102.8,6.6
2024-05-04 00:00:58.366,104.16,102.77,6.6
2024-05-04 00:00:58.402,103.97,102.75,6.6
2024-05-04 00:00:58.439,103.79,102.75,6.6
2024-05-04 00:00:58.481,103.63,102.75,6.6
2024-05-04 00:00:58.518,103.44,102.75,6.6
2024-05-04 00:00:58.555,103.28,102.75,6.6
2024-05-04 00:00:58.591,103.09,102.75,6.6
2024-05-04 00:00:58.632,102.93,102.75,6.6
2024-05-04 00:00:58.669,102.77,102.75,6.6
2024-05-04 00:00:58.706,102.61,102.75,6.6
2024-05-04 00:00:58.746,102.43,102.75,6.6
2024-05-04 00:00:58.783,102.24,102.75,6.6
2024-05-04 00:00:58.821,102.08,102.75,6.6
2024-05-04 00:00:58.857,101.92,102.75,6.6
2024-05-04 00:00:58.899,101.73,102.75,6.6
2024-05-04 00:00:58.935,101.57,102.75,6.6
2024-05-04 00:00:58.972,101.39,102.75,6.6
2024-05-04 00:00:59.009,101.23,102.75,6.6
2024-05-04 00:00:59.050,101.07,102.75,6.6
2024-05-04 00:00:59.087,100.88,102.75,6.6
2024-05-04 00:00:59.123,100.69,102.75,6.6
2024-05-04 00:00:59.161,100.53,102.75,6.6
2024-05-04 00:00:59.201,100.35,102.75,6.6
2024-05-04 00:00:59.238,100.16,102.75,6.6
2024-05-04 00:00:59.275,100.0,102.75,6.6
2024-05-04 00:00:59.312,99.81,102.75,6.6
2024-05-04 00:00:59.349,99.63,102.75,6.6
2024-05-04 00:00:59.390,99.47,102.75,6.6
2024-05-04 00:00:59.427,99.31,102.75,6.6
2024-05-04 00:00:59.463,99.12,102.75,6.6
2024-05-04 00:00:59.500,98.93,102.75,6.6
2024-05-04 00:00:59.541,98.77,102.75,6.6
2024-05-04 00:00:59.579,98.59,102.75,6.6
2024-05-04 00:00:59.615,98.4,102.75,6.6
2024-05-04 00:00:59.652,98.21,102.75,6.6
2024-05-04 00:00:59.693,98.03,102.75,6.6
2024-05-04 00:00:59.730,97.87,102.75,6.6
2024-05-04 00:00:59.767,97.71,102.75,6.6
2024-05-04 00:00:59.803,97.52,102.75,6.6
2024-05-04 00:00:59.845,97.33,102.75,6.6
2024-05-04 00:00:59.881,97.17,102.75,6.6
2024-05-04 00:00:59.918,96.96,102.75,6.6
2024-05-04 00:00:59.955,96.8,102.75,6.6
2024-05-04 00:00:59.996,96.75,102.91,6.6
2024-05-04 00:01:00.033,96.75,103.07,6.6
2024-05-04 00:01:00.070,96.75,103.28,6.6
2024-05-04 00:01:00.107,96.72,103.49,6.6
2024-05-04 00:01:00.148,96.72,103.71,6.6
2024-05-04 00:01:00.185,96.69,103.89,6.6
2024-05-04 00:01:00.221,96.69,104.08,6.6
2024-05-04 00:01:00.258,96.69,104.24,6.6
2024-05-04 00:01:00.299,96.69,104.43,6.6
2024-05-04 00:01:00.336,96.69,104.59,6.6
2024-05-04 00:01:00.373,96.69,104.77,6.6
2024-05-04 00:01:00.410,96.69,104.93,6.6
2024-05-04 00:01:00.451,96.69,105.15,6.6
2024-05-04 00:01:00.488,96.69,105.36,6.6
2024-05-04 00:01:00.524,96.69,105.57,6.6
2024-05-04 00:01:00.562,96.69,105.79,6.6
2024-05-04 00:01:00.602,96.69,105.95,6.6
2024-05-04 00:01:00.639,96.69,106.13,6.6
2024-05-04 00:01:00.676,96.69,106.29,6.6
2024-05-04 00:01:00.713,96.69,106.48,6.6
2024-05-04 00:01:00.754,96.67,106.64,6.6
2024-05-04 00:01:00.791,96.67,106.8,6.6
2024-05-04 00:01:00.828,96.67,106.99,6.6
2024-05-04 00:01:00.865,96.67,107.23,6.6
2024-05-04 00:01:00.905,96.67,107.44,6.6
2024-05-04 00:01:00.942,96.67,107.65,6.6
2024-05-04 00:01:00.979,96.67,107.81,6.6
2024-05-04 00:01:01.016,96.67,108.03,6.6
2024-05-04 00:01:01.057,96.67,108.19,6.6
2024-05-04 00:01:01.094,96.67,108.35,6.6
2024-05-04 00:01:01.131,96.67,108.53,6.6
2024-05-04 00:01:01.168,96.67,108.72,6.6
2024-05-04 00:01:01.209,96.64,108.88,6.6
2024-05-04 00:01:01.246,96.64,109.07,6.6
2024-05-04 00:01:01.282,96.64,109.31,6.6
2024-05-04 00:01:01.319,96.64,109.52,6.6
2024-05-04 00:01:01.360,96.64,109.73,6.6
2024-05-04 00:01:01.397,96.64,109.89,6.6
2024-05-04 00:01:01.434,96.64,110.08,6.6
2024-05-04 00:01:01.471,96.64,110.24,6.6
2024-05-04 00:01:01.512,96.64,110.43,6.6
2024-05-04 00:01:01.548,96.64,110.59,6.6
2024-05-04 00:01:01.585,96.64,110.77,6.6
2024-05-04 00:01:01.622,96.64,110.96,6.6
2024-05-04 00:01:01.664,96.64,111.17,6.6
2024-05-04 00:01:01.700,96.64,111.39,6.6
