timestamp,X_mea,Y_mea,Z_mea
2024-05-15 16:21:26.659,91.57,112.51,10.61
2024-05-15 16:21:26.696,91.6,112.77,10.61
2024-05-15 16:21:26.733,91.73,113.36,10.61
2024-05-15 16:21:26.770,92.19,113.25,10.61
2024-05-15 16:21:26.810,93.76,112.99,10.61
2024-05-15 16:21:26.848,95.95,112.56,10.61
2024-05-15 16:21:26.884,97.81,112.4,10.61
2024-05-15 16:21:26.925,99.2,112.4,10.61
2024-05-15 16:21:26.962,99.6,112.4,10.61
2024-05-15 16:21:26.999,99.63,112.4,10.61
2024-05-15 16:21:27.036,99.63,112.4,10.61
2024-05-15 16:21:27.077,99.63,112.4,10.61
2024-05-15 16:21:27.114,99.65,112.4,10.61
2024-05-15 16:21:27.151,99.65,112.4,10.61
2024-05-15 16:21:27.188,99.65,112.4,10.61
2024-05-15 16:21:27.228,99.84,112.4,10.61
2024-05-15 16:21:27.265,100.05,112.35,10.61
2024-05-15 16:21:27.302,100.27,112.32,10.61
2024-05-15 16:21:27.343,100.45,112.27,10.61
2024-05-15 16:21:27.379,100.64,112.19,10.61
2024-05-15 16:21:27.416,100.85,112.08,10.61
2024-05-15 16:21:27.454,101.04,111.92,10.61
2024-05-15 16:21:27.495,101.23,111.79,10.61
2024-05-15 16:21:27.531,101.39,111.63,10.61
2024-05-15 16:21:27.569,101.52,111.49,10.61
2024-05-15 16:21:27.610,101.63,111.33,10.61
2024-05-15 16:21:27.646,101.76,111.17,10.61
2024-05-15 16:21:27.683,101.87,110.99,10.61
2024-05-15 16:21:27.720,101.95,110.8,10.61
2024-05-15 16:21:27.761,102.03,110.61,10.61
2024-05-15 16:21:27.798,102.08,110.43,10.61
2024-05-15 16:21:27.835,102.13,110.21,10.61
2024-05-15 16:21:27.871,102.19,109.97,10.61
2024-05-15 16:21:27.913,102.19,109.73,10.61
2024-05-15 16:21:27.949,102.19,109.47,10.61
2024-05-15 16:21:27.986,102.16,109.31,10.61
2024-05-15 16:21:28.023,102.16,109.09,10.61
2024-05-15 16:21:28.064,102.13,108.93,10.61
2024-05-15 16:21:28.101,102.05,108.77,10.61
2024-05-15 16:21:28.138,101.97,108.61,10.61
2024-05-15 16:21:28.179,101.87,108.43,10.61
2024-05-15 16:21:28.215,101.73,108.27,10.61
2024-05-15 16:21:28.253,101.63,108.08,10.61
2024-05-15 16:21:28.290,101.47,107.92,10.61
2024-05-15 16:21:28.330,101.31,107.73,10.61
2024-05-15 16:21:28.367,101.15,107.6,10.61
2024-05-15 16:21:28.404,100.93,107.49,10.61
2024-05-15 16:21:28.441,100.77,107.41,10.61
2024-05-15 16:21:28.482,100.56,107.33,10.61
2024-05-15 16:21:28.519,100.4,107.28,10.61
2024-05-15 16:21:28.556,100.19,107.23,10.61
2024-05-15 16:21:28.593,99.97,107.23,10.61
2024-05-15 16:21:28.633,99.79,107.23,10.61
2024-05-15 16:21:28.670,99.57,107.23,10.61
2024-05-15 16:21:28.707,99.33,107.25,10.61
2024-05-15 16:21:28.744,99.12,107.25,10.61
2024-05-15 16:21:28.785,98.91,107.33,10.61
2024-05-15 16:21:28.822,98.72,107.41,10.61
2024-05-15 16:21:28.858,98.53,107.49,10.61
